,Participants,Masks,Target Location Straight,Target Location Rotate,Kl Div
328,04,v1,45,153,1.3171354177684438
329,04,v1,45,207,1.2440729035224274
330,04,v1,45,45,0.9217530023054825
331,04,v1,45,99,1.0880737564832996
332,04,v1,99,153,1.480269191185838
333,04,v1,99,207,1.1579260969062477
334,04,v1,99,45,0.8817463753443904
335,04,v1,99,99,1.3249624765987016
336,04,sup_parietal,153,153,2.719489882838645
337,04,sup_parietal,153,207,1.9970074412671144
338,04,sup_parietal,153,45,1.7837203210597021
339,04,sup_parietal,153,99,2.143580580768919
340,04,sup_parietal,207,153,2.9479194924017693
341,04,sup_parietal,207,207,2.5514063991242297
342,04,sup_parietal,207,45,2.7801533967591325
343,04,sup_parietal,207,99,2.1500367240010854
344,04,sup_parietal,45,153,2.6693787514182636
345,04,sup_parietal,45,207,2.645873397584661
346,04,sup_parietal,45,45,2.7623275298278385
347,04,sup_parietal,45,99,2.172531948380836
348,04,sup_parietal,99,153,2.6203110130373375
349,04,sup_parietal,99,207,1.9065856171831679
350,04,sup_parietal,99,45,2.387692213914434
351,04,sup_parietal,99,99,2.401158547144912
352,04,inf_parietal,153,153,1.413185889478938
353,04,inf_parietal,153,207,1.886215382071354
354,04,inf_parietal,153,45,1.7029577680263168
355,04,inf_parietal,153,99,1.7050639956843283
356,04,inf_parietal,207,153,1.8367571120925459
357,04,inf_parietal,207,207,1.5930553978804638
358,04,inf_parietal,207,45,1.772950371242728
359,04,inf_parietal,207,99,1.739849411359379
360,04,inf_parietal,45,153,2.288234500080959
361,04,inf_parietal,45,207,2.0807584904546497
362,04,inf_parietal,45,45,1.9001251011221352
363,04,inf_parietal,45,99,1.7126285425195946
364,04,inf_parietal,99,153,1.771163402920047
365,04,inf_parietal,99,207,1.8784203877254002
366,04,inf_parietal,99,45,1.9645655469876584
367,04,inf_parietal,99,99,1.7124251141553375
368,04,v5,153,153,1.4606976630274304
369,04,v5,153,207,1.7194223060026883
370,04,v5,153,45,1.3031410282213327
371,04,v5,153,99,2.708855696241007
372,04,v5,207,153,2.9409850023495423
373,04,v5,207,207,2.084993539065753
374,04,v5,207,45,2.0945816663780388
375,04,v5,207,99,3.18337281542503
