,Participants,Masks,Target Location Straight,Trial Stage,Target Location Rotate,Correlation
159,01,sup_parietal,207,0,99,-0.016183565767120975
160,01,sup_parietal,207,1,153,0.03857465281703844
161,01,sup_parietal,207,1,207,-0.0056675885634333584
162,01,sup_parietal,207,1,45,-0.041046486491992634
163,01,sup_parietal,207,1,99,0.06511845139722988
164,01,sup_parietal,207,2,153,-0.020573368325228682
165,01,sup_parietal,207,2,207,0.005090991615824481
166,01,sup_parietal,207,2,45,0.027033808697160388
167,01,sup_parietal,207,2,99,0.01938971471147147
168,01,sup_parietal,45,0,153,-0.06057686136412928
169,01,sup_parietal,45,0,207,-0.01634308201524825
170,01,sup_parietal,45,0,45,-0.03664553405043155
171,01,sup_parietal,45,0,99,-0.05017276089433369
172,01,sup_parietal,45,1,153,0.018190868231304662
173,01,sup_parietal,45,1,207,-0.03544815212222422
174,01,sup_parietal,45,1,45,-0.06972389817480885
175,01,sup_parietal,45,1,99,-0.07434270204331407
176,01,sup_parietal,45,2,153,-0.03309614766856851
177,01,sup_parietal,45,2,207,-0.027338803420080767
178,01,sup_parietal,45,2,45,-0.02214746649504748
179,01,sup_parietal,45,2,99,-0.04018246127159606
180,01,sup_parietal,99,0,153,-0.04496001190777595
181,01,sup_parietal,99,0,207,-0.015985564769261645
182,01,sup_parietal,99,0,45,0.012373170959724355
183,01,sup_parietal,99,0,99,0.02379593060888994
184,01,sup_parietal,99,1,153,-0.021061238083586585
185,01,sup_parietal,99,1,207,-0.029498875010195838
186,01,sup_parietal,99,1,45,0.04726527364448006
187,01,sup_parietal,99,1,99,-0.017312673354016626
188,01,sup_parietal,99,2,153,0.018968765937750015
189,01,sup_parietal,99,2,207,-0.021014110608967733
190,01,sup_parietal,99,2,45,-0.0726435884925429
191,01,sup_parietal,99,2,99,-0.0009103549677799729
192,01,inf_parietal,153,0,153,-0.019141620590072024
193,01,inf_parietal,153,0,207,-0.011280753064241998
194,01,inf_parietal,153,0,45,-0.020442098747541063
195,01,inf_parietal,153,0,99,-0.003913502594562826
196,01,inf_parietal,153,1,153,-0.0498101318323922
197,01,inf_parietal,153,1,207,-0.045974879182302406
198,01,inf_parietal,153,1,45,-0.04290176005579246
199,01,inf_parietal,153,1,99,-0.0022268323084588017
200,01,inf_parietal,153,2,153,-0.056696779643316035
201,01,inf_parietal,153,2,207,-0.009430254693258661
202,01,inf_parietal,153,2,45,-0.049879740081208226
203,01,inf_parietal,153,2,99,-0.03637465292790761
204,01,inf_parietal,207,0,153,-0.028326050263460675
205,01,inf_parietal,207,0,207,-0.010065117517147611
206,01,inf_parietal,207,0,45,-0.035763870677161635
207,01,inf_parietal,207,0,99,-0.0614242811562178
208,01,inf_parietal,207,1,153,-0.029850037236157385
209,01,inf_parietal,207,1,207,-0.03559871945212156
210,01,inf_parietal,207,1,45,-0.006257162354052683
211,01,inf_parietal,207,1,99,-0.04379950207559499
