,runs,block_type,ROIs,45_45,45_99,45_153,45_207,99_45,99_99,99_153,99_207,153_45,153_99,153_153,153_207,207_45,207_99,207_153,207_207,participant_id
12,3,Straight,premotor,0.047632354804785004,-0.14169229118935095,-0.261241766496813,-0.16191940430708082,-0.2585119429573282,0.24945737911986998,-0.21467520073517185,-0.2165793750133228,-0.2987117738368338,-0.1515278340774182,0.2567307890834893,-0.1822769500302765,-0.15387809559096444,-0.32955314102030697,-0.10262638032896408,0.3314310878893291,01
13,3,Straight,motor,0.018500161042451817,-0.19085892332165866,-0.3492688471562447,-0.17704110780466575,-0.2504291272666116,0.18676763149422626,-0.12480131560493513,-0.2684155957931241,-0.2726702946464361,-0.2996379946037944,0.19157411191036314,-0.15541405769055774,-0.1911042136520564,-0.3039674256390661,-0.03313627236732258,0.2901725731590167,01
14,3,Straight,v1,0.27342758147223284,-0.15177682421812186,-0.30175559374330124,-0.13250288971445248,-0.5851601403390165,-0.04438010374925093,-0.0005842064616732224,0.026947118688665717,-0.2161996443707473,-0.2116078793554988,0.3229214874824651,-0.10192699773832437,-0.09154882584071687,-0.20966958374482747,-0.04616756997701565,0.17225475724166067,01
15,3,Straight,sup_parietal,-0.012132827469134758,-0.3175918097484939,-0.13604642752704615,-0.07834506941356115,-0.3576129953875035,-0.12514164309273065,0.029060832963846657,0.08040187568614747,-0.4224811581600417,-0.13235302757394074,-0.0015497139165587467,0.0852607604016297,0.022002809265556058,-0.14117703252144187,-0.06456834464156888,0.1639652995713683,01
16,3,Straight,inf_parietal,-0.07572602549016308,-0.16560177452543914,-0.03956529873137081,-0.15452099748894013,-0.05772674425037396,0.14570551976129764,-0.14011147927132972,-0.3137634447519064,-0.31957788595969,-0.19610737739087092,0.2339042504081405,-0.06447559868202288,-0.19151285322471545,-0.36400267067412817,-0.10312248615979937,0.26992083521836685,01
17,3,Straight,somatosensory,-0.04432576210466435,-0.4143140818014392,-0.18453723583493128,-0.04811116544220817,-0.1593775229337443,0.14450533279578606,-0.14735539035964887,-0.2130049729169333,-0.2896240690318334,-0.2431080811650017,0.13581594550223258,-0.06545986933476806,-0.21513246297244565,-0.2923020631971156,-0.14912543608365605,0.3234747270037662,01
18,4,Rotate,premotor,0.5786012824150726,-0.2585933629075585,-0.2309534868925777,-0.2761737566802596,-0.03313165949938629,0.053913960810848385,-0.2060147435555293,-0.16523639233218426,-0.5282621006902501,0.03245329355120148,0.4007298859140751,-0.05020725131620903,-0.24324989233084904,-0.013163016897536746,-0.19821974960446265,-0.03388079583030983,01
19,4,Rotate,motor,0.569129084754106,-0.1546068120380712,-0.2224654299271592,-0.280366892104855,0.004891215051663556,0.0134256506430534,-0.21618584250184028,-0.1903426712209288,-0.5452308308242891,0.010449425464107636,0.4292420212399932,0.03589179411555739,-0.15839024854889794,-0.00811122008736382,-0.155278339360933,-0.14806835794109555,01
20,4,Rotate,v1,0.5877753902487133,0.021800570545506,-0.13271854092722407,-0.5066085868829008,-0.06204006686907555,0.2528671874448866,-0.1276332018485094,-0.19069766356938805,-0.5605752535436597,-0.1853576570241093,0.42533092398975736,0.09126413457196353,-0.04497311675328858,-0.208327896008751,-0.15857052530953564,-0.0035589926162661327,01
21,4,Rotate,sup_parietal,0.6228290523981329,-0.01639430437201164,-0.20351502305849015,-0.5054833925500961,0.039807698591183216,0.253875585310901,-0.32801701306453623,-0.07687139276799759,-0.581857299489569,-0.2988009671052209,0.4762908064323871,0.02685232737955404,-0.3135821096650622,-0.07348296908825641,-0.019068903440325698,-0.13169151979194604,01
22,4,Rotate,inf_parietal,0.6474024834224217,-0.3286064173213372,-0.19067561483823556,-0.33056867337875645,-0.09618861897828117,0.2490367236743073,-0.1474230214756323,-0.250062295682837,-0.5322491432992087,-0.11520129643850514,0.3646687362641153,0.00559875357769736,-0.35630881936097464,0.007699758945972818,-0.2586980521863053,0.025608827983643424,01
23,4,Rotate,somatosensory,0.6080089699174255,-0.16129551567132375,-0.13382804449210542,-0.3982086103738565,0.011512943388141279,-0.0030797273406821123,-0.16011784750999358,-0.2741397907070211,-0.6113393351929926,-0.1041790895736414,0.3642329090351242,0.1504978446088413,-0.13368261430298412,0.09887740714593954,-0.25450590510118104,-0.1965872127527452,01
24,5,Straight,premotor,0.3396835061755325,-0.25291253577041656,-0.17496496110193546,-0.2923921476423293,-0.05716560432866054,0.3391892681210471,-0.21872328408146316,-0.03193045643446628,-0.27236386912670063,0.0954138247036393,0.1733727491610541,-0.05407003050468182,-0.1972904383023187,-0.39243779237288706,-0.027715494000041217,0.11710591920820095,01
25,5,Straight,motor,0.4053212907642579,-0.3205785385965557,-0.2848530571004108,-0.2387552154720534,-0.08939235969059442,0.3538512910827778,-0.13142806229009696,-0.016076934060509925,-0.2519134297213582,0.051980681495924656,0.29691081577797873,-0.16366336115046004,-0.22046794818475532,-0.3729652088768448,-0.15077319530732852,0.2166612998615398,01
26,5,Straight,v1,0.2692562020779448,-0.12163042036924555,-0.3278275324279254,-0.3298340973700893,0.06889020821701966,0.43575064628462606,-0.3646671515109311,-0.24447313883838695,-0.30120095423448623,-0.15502460739365315,0.2326581976432293,-0.1818861170915479,-0.2809637731608683,-0.5077977063410267,0.19898553320561602,0.2802165945872717,01
27,5,Straight,sup_parietal,0.32325185000865697,-0.2552264879131416,-0.1413163802590206,-0.2510238345646311,0.02086112167923765,0.442265642231512,-0.2331580881097408,0.1488746802468083,-0.34012758884173555,-0.07689916227599655,0.2756389947769345,-0.11947449695726847,-0.20418671879782,-0.385139852710671,0.02081415557204944,-0.14951289509118865,01
28,5,Straight,inf_parietal,0.2927231574955008,-0.049175570701266255,-0.2669768796387723,-0.3163154618404441,0.07244203124199391,0.2550720844937842,-0.12187157301573398,-0.050466448141801984,-0.20054465658491988,-0.040546188237886166,0.12328428380257568,0.022802826145363983,-0.2760185251471033,-0.36186311320410747,-0.0335485971800706,0.0766477017844826,01
29,5,Straight,somatosensory,0.3742126653885771,-0.16091540009635572,-0.3557693025118488,-0.15459591022499045,0.013897461438318772,0.3176671565319414,-0.10158997273756827,-0.15613593803728135,-0.3235795268287087,0.07395674172383594,0.3066609999619523,-0.2211851244591638,-0.2335792887442071,-0.29787940119006096,-0.09887650324085942,0.23863380072988424,01
30,6,Rotate,premotor,0.1897297331975664,-0.3902829282271871,-0.3457634172816753,-0.1775673744421825,-0.1252936966945663,0.2509360808973657,-0.23686482838937456,-0.22849433003167455,-0.4050739690021024,-0.2568591535090259,0.2640056710870282,-0.13683072978802566,-0.3044668058114849,-0.4168622961850095,-0.3295575161633798,0.2625729096288928,01
31,6,Rotate,motor,0.15630895288622035,-0.4492187618405378,-0.28140888663780284,-0.1192753582747601,0.01691502336670321,0.3497750290161721,-0.26705942924622245,-0.2508704736585912,-0.4723933901375987,-0.3093982252226757,0.20047722247221508,-0.07612838262828804,-0.3075152402639824,-0.4259607470463386,-0.3282373874203208,0.2617295311678964,01
