,Participants,Masks,Target Location Straight,Trial Stage,Target Location Rotate,Correlation
234,01,inf_parietal,99,1,45,-0.08459405282180978
235,01,inf_parietal,99,1,99,-0.03929202828584668
236,01,inf_parietal,99,2,153,0.032233648881645066
237,01,inf_parietal,99,2,207,-0.012458731589837537
238,01,inf_parietal,99,2,45,0.05293575093296464
239,01,inf_parietal,99,2,99,0.04524944831254975
240,01,v5,153,0,153,-0.10615164720262743
241,01,v5,153,0,207,0.014612111109066048
242,01,v5,153,0,45,-0.01981459970047737
243,01,v5,153,0,99,-0.03866812652205729
244,01,v5,153,1,153,0.03290034241541494
245,01,v5,153,1,207,-0.003076315549378608
246,01,v5,153,1,45,0.02093757660309399
247,01,v5,153,1,99,0.02501246940111992
248,01,v5,153,2,153,0.0007507687461403081
249,01,v5,153,2,207,-0.0198676078073426
250,01,v5,153,2,45,-0.0024510264873756453
251,01,v5,153,2,99,-0.04919482427609184
252,01,v5,207,0,153,0.023496841792677095
253,01,v5,207,0,207,0.05874925586617492
254,01,v5,207,0,45,0.15029089771328752
255,01,v5,207,0,99,0.05290517948679802
256,01,v5,207,1,153,0.11427856685118987
257,01,v5,207,1,207,0.07725778964865726
258,01,v5,207,1,45,0.04661260486302353
259,01,v5,207,1,99,0.09472938594528013
260,01,v5,207,2,153,0.05324210809670692
261,01,v5,207,2,207,-0.09284311073804911
262,01,v5,207,2,45,-0.052383431143481825
263,01,v5,207,2,99,-0.03428138809550021
264,01,v5,45,0,153,0.009538340956584436
265,01,v5,45,0,207,-0.05367456681705984
266,01,v5,45,0,45,-0.025393386509339592
267,01,v5,45,0,99,-0.03337099293837659
268,01,v5,45,1,153,-0.09968398997783341
269,01,v5,45,1,207,-0.059220911842446405
270,01,v5,45,1,45,-0.07515711705000847
271,01,v5,45,1,99,-0.08311688493440697
272,01,v5,45,2,153,0.012255391469620718
273,01,v5,45,2,207,0.036572311299524214
274,01,v5,45,2,45,-0.003991186908199929
275,01,v5,45,2,99,0.10260728000597497
276,01,v5,99,0,153,0.13150479314040237
277,01,v5,99,0,207,0.1255141804605407
278,01,v5,99,0,45,0.06462032092138552
279,01,v5,99,0,99,0.09732032303074455
280,01,v5,99,1,153,0.0061951059532241795
281,01,v5,99,1,207,-0.08145950522874446
282,01,v5,99,1,45,-0.046693420104912106
283,01,v5,99,1,99,-0.052528941304870576
284,01,v5,99,2,153,0.02096805258920113
285,01,v5,99,2,207,0.04287349554796202
286,01,v5,99,2,45,0.18031217744445605
287,01,v5,99,2,99,0.11616849654323062
288,02,premotor,153,0,153,-0.09202121995857422
289,02,premotor,153,0,207,-0.08895210078184339
290,02,premotor,153,0,45,-0.09268886965668699
291,02,premotor,153,0,99,-0.06315753230532312
292,02,premotor,153,1,153,-0.08285801773287711
293,02,premotor,153,1,207,-0.08186026545779827
294,02,premotor,153,1,45,-0.055162943742151346
295,02,premotor,153,1,99,-0.09358970290896138
296,02,premotor,153,2,153,-0.042341127523188804
297,02,premotor,153,2,207,0.0026592966784999483
298,02,premotor,153,2,45,-0.0062854348472108305
299,02,premotor,153,2,99,-0.0561368839386937
300,02,premotor,207,0,153,-0.1283953262813488
301,02,premotor,207,0,207,-0.14166505045264344
302,02,premotor,207,0,45,-0.10094428302619668
303,02,premotor,207,0,99,-0.1057953648474229
304,02,premotor,207,1,153,-0.10698230478596839
305,02,premotor,207,1,207,-0.015718014865517577
306,02,premotor,207,1,45,-0.054647336485802306
307,02,premotor,207,1,99,-0.10472677517527584
308,02,premotor,207,2,153,-0.04370240178248315
309,02,premotor,207,2,207,0.0013481060302864573
310,02,premotor,207,2,45,-0.08775565207874461
311,02,premotor,207,2,99,-0.029520172472904047
312,02,premotor,45,0,153,-0.048377137347622376
313,02,premotor,45,0,207,-0.015912160152136527
314,02,premotor,45,0,45,-0.04845358605082241
315,02,premotor,45,0,99,-0.03724587824794281
316,02,premotor,45,1,153,-0.020783728105616187
317,02,premotor,45,1,207,-0.045077718486698407
318,02,premotor,45,1,45,-0.0042930459453531696
319,02,premotor,45,1,99,-0.009432642589425874
320,02,premotor,45,2,153,-0.03605154807700011
321,02,premotor,45,2,207,-0.050994840278470954
322,02,premotor,45,2,45,-0.04955749962291771
323,02,premotor,45,2,99,-0.07418005215205392
324,02,premotor,99,0,153,0.0017997938801516643
325,02,premotor,99,0,207,-0.014715502511322955
326,02,premotor,99,0,45,-0.0028157279420056346
327,02,premotor,99,0,99,-0.052392409664186686
328,02,premotor,99,1,153,-0.05459682969820909
329,02,premotor,99,1,207,-0.1632413212478113
330,02,premotor,99,1,45,-0.14982891561127334
331,02,premotor,99,1,99,-0.05646179129095759
332,02,premotor,99,2,153,-0.07515768167053134
333,02,premotor,99,2,207,-0.13030559859024107
334,02,premotor,99,2,45,-0.08167747247968142
335,02,premotor,99,2,99,-0.05405184486774833
336,02,motor,153,0,153,-0.06579264200291302
337,02,motor,153,0,207,-0.1185675041437035
338,02,motor,153,0,45,-0.05870991091408191
339,02,motor,153,0,99,-0.14387013356727024
340,02,motor,153,1,153,-0.09250687011966663
341,02,motor,153,1,207,-0.11090465297492431
342,02,motor,153,1,45,-0.08281722454998568
343,02,motor,153,1,99,-0.08027919877503335
344,02,motor,153,2,153,-0.05875112376459333
345,02,motor,153,2,207,-0.019672306600638144
346,02,motor,153,2,45,-0.046075747446692294
347,02,motor,153,2,99,-0.0341722385628216
348,02,motor,207,0,153,-0.13780181965471847
349,02,motor,207,0,207,-0.11350944052775294
350,02,motor,207,0,45,-0.12165022146539231
351,02,motor,207,0,99,-0.022200765814562047
352,02,motor,207,1,153,-0.08182672969917783
353,02,motor,207,1,207,0.008718049007241525
354,02,motor,207,1,45,0.04893534711596492
355,02,motor,207,1,99,-0.04195403908817374
356,02,motor,207,2,153,-0.006351686669527949
