,Participants,Masks,Target Location Straight,Target Location Rotate,Layers,Kl Div
366,01,v5,45,99,2,9.484987118446378
367,01,v5,45,99,3,0.12433968736631601
368,01,v5,99,153,0,93.97945659030091
369,01,v5,99,153,1,20.85104225397739
370,01,v5,99,153,2,5.534828931106159
371,01,v5,99,153,3,0.28949783528268414
372,01,v5,99,207,0,94.07746770155772
373,01,v5,99,207,1,18.500509850852197
374,01,v5,99,207,2,4.38843965189602
375,01,v5,99,207,3,0.01484940617190389
376,01,v5,99,45,0,96.67131663321398
377,01,v5,99,45,1,21.453830826416457
378,01,v5,99,45,2,9.921274467737948
379,01,v5,99,45,3,0.8394520893385862
380,01,v5,99,99,0,97.67861401566746
381,01,v5,99,99,1,19.211318645012906
382,01,v5,99,99,2,8.456537739767594
383,01,v5,99,99,3,2.4077117561850088
384,02,premotor,153,153,0,509.51703210624856
385,02,premotor,153,153,1,16.40604749788677
386,02,premotor,153,153,2,8.984587298602758
387,02,premotor,153,153,3,0.5210054994968761
388,02,premotor,153,207,0,496.9069494402243
389,02,premotor,153,207,1,17.758990458319747
390,02,premotor,153,207,2,3.984857913747506
391,02,premotor,153,207,3,0.7008399804279843
392,02,premotor,153,45,0,491.12151142300814
393,02,premotor,153,45,1,16.979237692850063
394,02,premotor,153,45,2,7.397281703546471
395,02,premotor,153,45,3,0.5070031751272596
396,02,premotor,153,99,0,521.6751996291507
397,02,premotor,153,99,1,17.96821978900919
398,02,premotor,153,99,2,5.796148158650286
399,02,premotor,153,99,3,
400,02,premotor,207,153,0,519.3319414742693
401,02,premotor,207,153,1,17.09475058092608
402,02,premotor,207,153,2,6.087487404638903
403,02,premotor,207,153,3,0.5536882081722057
404,02,premotor,207,207,0,505.3392511196654
405,02,premotor,207,207,1,13.438591317428054
406,02,premotor,207,207,2,4.429829857820254
407,02,premotor,207,207,3,0.5310988487913593
408,02,premotor,207,45,0,493.4848128508072
409,02,premotor,207,45,1,15.83817530241321
410,02,premotor,207,45,2,5.596718101970124
411,02,premotor,207,45,3,0.33206095582471856
412,02,premotor,207,99,0,519.9575756062036
413,02,premotor,207,99,1,12.852996897427545
414,02,premotor,207,99,2,5.198060911438969
415,02,premotor,207,99,3,0.5040738275436015
416,02,premotor,45,153,0,514.8342828548655
417,02,premotor,45,153,1,17.54979609684372
418,02,premotor,45,153,2,5.133929121262073
419,02,premotor,45,153,3,0.20486883811172796
420,02,premotor,45,207,0,507.78745379698404
421,02,premotor,45,207,1,17.686581839531733
422,02,premotor,45,207,2,5.729658288851802
423,02,premotor,45,207,3,0.4412124394126764
424,02,premotor,45,45,0,495.44113886612666
425,02,premotor,45,45,1,15.359819399727709
426,02,premotor,45,45,2,4.9360529443272085
427,02,premotor,45,45,3,0.040526587817629856
428,02,premotor,45,99,0,516.9225000475773
429,02,premotor,45,99,1,15.905042614334903
430,02,premotor,45,99,2,4.4360037013633065
431,02,premotor,45,99,3,0.0006881201192749931
432,02,premotor,99,153,0,499.1526269169687
433,02,premotor,99,153,1,14.307204671276708
434,02,premotor,99,153,2,7.885256836552234
435,02,premotor,99,153,3,0.2346010090513334
436,02,premotor,99,207,0,492.1534445712448
437,02,premotor,99,207,1,14.757583601681585
438,02,premotor,99,207,2,6.585970899731214
439,02,premotor,99,207,3,0.13018830793415226
440,02,premotor,99,45,0,486.9994520724599
441,02,premotor,99,45,1,12.765417618957288
442,02,premotor,99,45,2,4.328068514854406
443,02,premotor,99,45,3,0.4553370539223564
444,02,premotor,99,99,0,514.4488181143387
445,02,premotor,99,99,1,17.791638475976107
446,02,premotor,99,99,2,5.1894280370577075
447,02,premotor,99,99,3,0.43105600328775545
448,02,motor,153,153,0,216.98554801326438
449,02,motor,153,153,1,15.38594798614413
450,02,motor,153,153,2,4.099905289447886
451,02,motor,153,153,3,
452,02,motor,153,207,0,203.51357178134273
453,02,motor,153,207,1,16.433470430657245
454,02,motor,153,207,2,9.088340349720864
455,02,motor,153,207,3,
456,02,motor,153,45,0,207.48359561728796
457,02,motor,153,45,1,17.12454137538961
458,02,motor,153,45,2,10.485512796562121
459,02,motor,153,45,3,
460,02,motor,153,99,0,208.55136500238413
461,02,motor,153,99,1,15.569912088014497
462,02,motor,153,99,2,6.89326440528988
463,02,motor,153,99,3,0.6102708893112884
464,02,motor,207,153,0,227.26980966574598
465,02,motor,207,153,1,17.63023486868707
466,02,motor,207,153,2,11.159585009255991
467,02,motor,207,153,3,0.2375517612344085
468,02,motor,207,207,0,209.70182984342074
469,02,motor,207,207,1,17.02495243885958
470,02,motor,207,207,2,6.181885570984495
471,02,motor,207,207,3,
472,02,motor,207,45,0,211.88242940461245
473,02,motor,207,45,1,15.332602124864533
474,02,motor,207,45,2,6.39445900663338
475,02,motor,207,45,3,
476,02,motor,207,99,0,215.27422733886493
477,02,motor,207,99,1,16.255863635230305
478,02,motor,207,99,2,7.0007095283511624
479,02,motor,207,99,3,0.7607167076902037
480,02,motor,45,153,0,212.57314932759107
481,02,motor,45,153,1,16.213096117346318
482,02,motor,45,153,2,6.428168614251616
483,02,motor,45,153,3,0.7021755626543238
484,02,motor,45,207,0,207.88504699586684
485,02,motor,45,207,1,18.8476206309543
486,02,motor,45,207,2,5.2290985401212495
487,02,motor,45,207,3,0.00041013716653770516
488,02,motor,45,45,0,209.56126750385653
489,02,motor,45,45,1,20.25457085948966
490,02,motor,45,45,2,8.787713302759844
491,02,motor,45,45,3,0.24245115092769276
492,02,motor,45,99,0,208.11890426676646
493,02,motor,45,99,1,19.986194549601176
494,02,motor,45,99,2,7.231630078339964
495,02,motor,45,99,3,0.9925540683509714
