,Participants,Masks,Straight Direction,Rotate Direction,Correlation
275,03,v5,153,99,0.03035588131418864
276,03,v5,207,153,0.02215130154924215
277,03,v5,207,207,0.01722101265475908
278,03,v5,207,45,-0.12779682492822
279,03,v5,207,99,0.042604352377385794
280,03,v5,45,153,0.035643411036456775
281,03,v5,45,207,0.06533241633413409
282,03,v5,45,45,-0.12886801713639334
283,03,v5,45,99,0.027003730206562476
284,03,v5,99,153,-0.017582033828371722
285,03,v5,99,207,-0.007461950434584155
286,03,v5,99,45,0.07951186346269004
287,03,v5,99,99,-0.017183474649021376
288,04,premotor,153,153,0.012804562286954516
289,04,premotor,153,207,-0.026173718439866628
290,04,premotor,153,45,0.0027711728491782136
291,04,premotor,153,99,0.024479442173394452
292,04,premotor,207,153,0.013442430795167973
293,04,premotor,207,207,0.00437387976726351
294,04,premotor,207,45,-0.020409347147078885
295,04,premotor,207,99,0.0018321282138262524
296,04,premotor,45,153,0.0066459203462528
297,04,premotor,45,207,0.024761372529008438
298,04,premotor,45,45,-0.03530800396749584
299,04,premotor,45,99,0.0029042436880751506
300,04,premotor,99,153,-0.0328226260342734
301,04,premotor,99,207,0.004234132649342976
302,04,premotor,99,45,0.04512345228462691
303,04,premotor,99,99,-0.02402309863544674
304,04,motor,153,153,0.010747845638232847
305,04,motor,153,207,-0.006423388551296344
306,04,motor,153,45,-0.03431037972121463
307,04,motor,153,99,0.03809557179999031
308,04,motor,207,153,-0.00909246624799536
309,04,motor,207,207,0.09201688421574794
310,04,motor,207,45,-0.008913211376375975
311,04,motor,207,99,-0.06370489117120262
312,04,motor,45,153,-0.012296799087714978
313,04,motor,45,207,-0.022622531740773257
314,04,motor,45,45,-0.00792581776288366
315,04,motor,45,99,0.030753592298452558
316,04,motor,99,153,0.02403959952482737
317,04,motor,99,207,-0.0643481472621529
318,04,motor,99,45,0.04808260492863589
319,04,motor,99,99,-0.01003374090611565
320,04,v1,153,153,-0.049789963709360306
321,04,v1,153,207,-0.027679794497600385
322,04,v1,153,45,0.0399493725227351
323,04,v1,153,99,0.036838804588794724
324,04,v1,207,153,0.04093530655736503
325,04,v1,207,207,-0.11390563405115786
326,04,v1,207,45,0.04426493778499568
327,04,v1,207,99,0.02655279560000091
328,04,v1,45,153,0.046622794923752896
329,04,v1,45,207,0.11660225858852688
330,04,v1,45,45,-0.13195838707272325
331,04,v1,45,99,-0.017793462439566136
332,04,v1,99,153,-0.032975571918137554
333,04,v1,99,207,0.047176862874967675
334,04,v1,99,45,0.042963187414988585
335,04,v1,99,99,-0.06534214130464322
336,04,sup_parietal,153,153,0.020653557227128104
337,04,sup_parietal,153,207,-0.04045431479759115
338,04,sup_parietal,153,45,0.05820152102814691
339,04,sup_parietal,153,99,-0.0729347340127895
340,04,sup_parietal,207,153,0.025285110930594205
341,04,sup_parietal,207,207,0.019181954993129892
342,04,sup_parietal,207,45,-0.06198712814549627
343,04,sup_parietal,207,99,0.05164475958960768
344,04,sup_parietal,45,153,-0.032186268433027486
345,04,sup_parietal,45,207,0.03958706580610405
346,04,sup_parietal,45,45,-0.0030064997077448967
347,04,sup_parietal,45,99,0.0036548790544296116
348,04,sup_parietal,99,153,-0.015105153112629235
349,04,sup_parietal,99,207,0.005677198676724716
350,04,sup_parietal,99,45,-0.007975189177765749
351,04,sup_parietal,99,99,0.023273148961831375
352,04,inf_parietal,153,153,0.1219562957965159
353,04,inf_parietal,153,207,-0.005413884649198456
354,04,inf_parietal,153,45,-0.015362530670589163
355,04,inf_parietal,153,99,-0.09315195264593491
356,04,inf_parietal,207,153,0.03975914315817035
357,04,inf_parietal,207,207,0.026968486247628105
358,04,inf_parietal,207,45,-0.08062178736863454
359,04,inf_parietal,207,99,0.010259874226169734
360,04,inf_parietal,45,153,-0.046555460655488476
361,04,inf_parietal,45,207,0.048335720419646594
362,04,inf_parietal,45,45,0.04029973285511593
363,04,inf_parietal,45,99,-0.01307728063467289
364,04,inf_parietal,99,153,-0.13298174327263068
365,04,inf_parietal,99,207,-0.05533634301084188
366,04,inf_parietal,99,45,0.07761200162802975
367,04,inf_parietal,99,99,0.07649775988056484
368,04,v5,153,153,-0.004340810978013608
369,04,v5,153,207,-0.09172595536454617
370,04,v5,153,45,-0.14474766554051344
371,04,v5,153,99,0.2072252429637318
372,04,v5,207,153,0.172159889597555
373,04,v5,207,207,0.07268477895109055
374,04,v5,207,45,-0.04852790506604229
375,04,v5,207,99,-0.16436738433614612
376,04,v5,45,153,-0.08985344186320077
377,04,v5,45,207,0.14100144257806646
378,04,v5,45,45,-0.06828125492763942
379,04,v5,45,99,0.020074468947032652
380,04,v5,99,153,-0.12111766921024332
381,04,v5,99,207,-0.044599023337762014
382,04,v5,99,45,0.22534171871407366
383,04,v5,99,99,-0.07027449467624697
384,05,premotor,153,153,0.006945136900247294
385,05,premotor,153,207,-0.06278112645039212
386,05,premotor,153,45,0.0029391324451365
387,05,premotor,153,99,0.0415586169995341
388,05,premotor,207,153,-0.030507897655983045
389,05,premotor,207,207,0.07164714671976546
390,05,premotor,207,45,0.00999543900121911
391,05,premotor,207,99,-0.03224224559712703
392,05,premotor,45,153,-0.004067834273794143
393,05,premotor,45,207,0.009459728814203098
394,05,premotor,45,45,0.020290810443904163
395,05,premotor,45,99,-0.030168159687595793
396,05,premotor,99,153,0.01954416507619449
397,05,premotor,99,207,-0.002847930756137833
398,05,premotor,99,45,-0.04629315752904473
399,05,premotor,99,99,0.033823330409703714
400,05,motor,153,153,0.05457124767064653
401,05,motor,153,207,-0.04435910607740408
402,05,motor,153,45,0.02995647806783158
403,05,motor,153,99,-0.0428809427128925
404,05,motor,207,153,-0.01715803400319893
405,05,motor,207,207,0.07328706100724391
406,05,motor,207,45,-0.022797361697607953
407,05,motor,207,99,-0.045104054736048074
408,05,motor,45,153,-0.0021467092453965816
409,05,motor,45,207,-0.040808365426285194
410,05,motor,45,45,0.020448918042208143
411,05,motor,45,99,0.02602689989864229
412,05,motor,99,153,-0.009218414737226625
413,05,motor,99,207,0.0009013285439453626
414,05,motor,99,45,-0.06664208251463218
415,05,motor,99,99,0.07490434385857539
416,05,v1,153,153,0.017163759378913707
417,05,v1,153,207,-0.08026288056069092
418,05,v1,153,45,0.011266976958340402
419,05,v1,153,99,0.0547701701541887
420,05,v1,207,153,0.05449489785374945
421,05,v1,207,207,-0.14905305251140677
422,05,v1,207,45,0.11671687786753855
423,05,v1,207,99,-0.04924285162133384
424,05,v1,45,153,0.046432433610213486
425,05,v1,45,207,0.1835356862376048
426,05,v1,45,45,-0.1713345398984941
427,05,v1,45,99,-0.07594378475264571
428,05,v1,99,153,-0.19351628045083788
429,05,v1,99,207,0.07912287752027841
430,05,v1,99,45,0.04785915277765665
431,05,v1,99,99,0.08425162339411141
432,05,sup_parietal,153,153,0.06664466213705009
433,05,sup_parietal,153,207,-0.11880179839687394
434,05,sup_parietal,153,45,0.01895209512879417
435,05,sup_parietal,153,99,0.019238303891270084
436,05,sup_parietal,207,153,-0.042337645932371465
437,05,sup_parietal,207,207,-0.006421831495741291
438,05,sup_parietal,207,45,-0.034531712954064195
439,05,sup_parietal,207,99,0.033909046961799916
440,05,sup_parietal,45,153,-0.024392469871174067
441,05,sup_parietal,45,207,0.0821160651396573
442,05,sup_parietal,45,45,0.02275283958738141
443,05,sup_parietal,45,99,-0.04941754752113081
444,05,sup_parietal,99,153,0.003753443197719291
445,05,sup_parietal,99,207,0.0031692970941199026
