,Participants,Masks,Straight Direction,Straight Direction_,Correlation
386,05,premotor,153,45,0.14019529534360564
387,05,premotor,153,99,0.33485928397581255
388,05,premotor,207,153,0.21727079010739575
389,05,premotor,207,207,-0.7820989343191551
390,05,premotor,207,45,0.30877153517120015
391,05,premotor,207,99,0.21718922474407193
392,05,premotor,45,153,0.20938016397029838
393,05,premotor,45,207,0.2933076946563013
394,05,premotor,45,45,-0.5519147107259477
395,05,premotor,45,99,0.16030463689736077
396,05,premotor,99,153,0.322936776436982
397,05,premotor,99,207,0.19566914343513403
398,05,premotor,99,45,0.18680938585140855
399,05,premotor,99,99,-0.8532465954413176
400,05,motor,153,153,-0.7083727955826514
401,05,motor,153,207,0.20300110948414496
402,05,motor,153,45,0.1825908621861328
403,05,motor,153,99,0.33879974123381584
404,05,motor,207,153,0.19065934029444526
405,05,motor,207,207,-0.776712310511085
406,05,motor,207,45,0.31379762104851416
407,05,motor,207,99,0.209474617112116
408,05,motor,45,153,0.17450916598311247
409,05,motor,45,207,0.32037857693521604
410,05,motor,45,45,-0.5881817339974956
411,05,motor,45,99,0.1908209610041493
412,05,motor,99,153,0.33117990855714596
413,05,motor,99,207,0.18387600563648787
414,05,motor,99,45,0.19999762097820165
415,05,motor,99,99,-0.8634544950726714
416,05,v1,153,153,-0.7094885410126712
417,05,v1,153,207,0.32554666689308087
418,05,v1,153,45,0.15577720936406209
419,05,v1,153,99,0.22809894206566325
420,05,v1,207,153,0.25898522184083883
421,05,v1,207,207,-0.7584171723275509
422,05,v1,207,45,0.2204212239006514
423,05,v1,207,99,0.24295256389456688
424,05,v1,45,153,0.13761416111982122
425,05,v1,45,207,0.22431515206981703
426,05,v1,45,45,-0.5455617223787037
427,05,v1,45,99,0.20465718467996274
428,05,v1,99,153,0.32951702620853085
429,05,v1,99,207,0.1982801897251569
430,05,v1,99,45,0.21115634381408815
431,05,v1,99,99,-0.8332894182603436
432,05,sup_parietal,153,153,-0.8084569946108252
433,05,sup_parietal,153,207,0.2516414096955865
434,05,sup_parietal,153,45,0.18997893891060394
435,05,sup_parietal,153,99,0.35105128522846624
436,05,sup_parietal,207,153,0.2853887405947415
437,05,sup_parietal,207,207,-0.7811704593358431
438,05,sup_parietal,207,45,0.293204372014705
439,05,sup_parietal,207,99,0.1476497081987294
440,05,sup_parietal,45,153,0.2366239123355028
441,05,sup_parietal,45,207,0.29944384947689917
442,05,sup_parietal,45,45,-0.702546195949909
443,05,sup_parietal,45,99,0.2037233413925754
444,05,sup_parietal,99,153,0.3327530224060765
445,05,sup_parietal,99,207,0.08438632490216652
446,05,sup_parietal,99,45,0.24272310309762274
447,05,sup_parietal,99,99,-0.8023409406218671
448,05,inf_parietal,153,153,-0.818808082509381
449,05,inf_parietal,153,207,0.26158792610745896
450,05,inf_parietal,153,45,0.1997578939284328
451,05,inf_parietal,153,99,0.3478534077483806
452,05,inf_parietal,207,153,0.23348019086651478
453,05,inf_parietal,207,207,-0.7897292125747164
454,05,inf_parietal,207,45,0.28538831381909996
455,05,inf_parietal,207,99,0.22586052713066362
456,05,inf_parietal,45,153,0.22038052915581752
457,05,inf_parietal,45,207,0.2641323313221188
458,05,inf_parietal,45,45,-0.636620621831499
459,05,inf_parietal,45,99,0.20718073134986711
460,05,inf_parietal,99,153,0.3620444260995881
461,05,inf_parietal,99,207,0.2029544728383515
462,05,inf_parietal,99,45,0.2039205787969527
463,05,inf_parietal,99,99,-0.8574418769975033
464,05,v5,153,153,-0.7986732952041634
465,05,v5,153,207,0.2891114745041401
466,05,v5,153,45,0.23351180084943618
467,05,v5,153,99,0.4282789269104643
468,05,v5,207,153,0.2963339199368314
469,05,v5,207,207,-0.8102193724374045
470,05,v5,207,45,0.28553975826136263
471,05,v5,207,99,0.19052896992152152
472,05,v5,45,153,0.13241727003014192
473,05,v5,45,207,0.293541584106142
474,05,v5,45,45,-0.6247290385509018
475,05,v5,45,99,0.14472329921931826
476,05,v5,99,153,0.34610624081726626
477,05,v5,99,207,0.17656167328185085
478,05,v5,99,45,0.11982633266116557
479,05,v5,99,99,-0.7970221981590995
480,06,premotor,153,153,-0.800788521815714
481,06,premotor,153,207,0.24836424091397724
482,06,premotor,153,45,0.25386544181422166
483,06,premotor,153,99,0.2926426306741706
484,06,premotor,207,153,0.24580641189139849
485,06,premotor,207,207,-0.8549566781255034
486,06,premotor,207,45,0.3356707522305417
487,06,premotor,207,99,0.279166587314237
488,06,premotor,45,153,0.19122174019210023
489,06,premotor,45,207,0.29963058884901217
490,06,premotor,45,45,-0.8435578330967449
491,06,premotor,45,99,0.30943778165247837
