,Participants,Masks,Target Location Straight,Target Location Rotate,RDM Correlations
266,03,inf_parietal,45,45,0.0057611433674410965
267,03,inf_parietal,45,99,-0.011748932603279144
268,03,inf_parietal,99,153,0.00010270572302016503
269,03,inf_parietal,99,207,0.02274165242023224
270,03,inf_parietal,99,45,0.008449653225005618
271,03,inf_parietal,99,99,0.008005287258256971
272,03,v5,153,153,-0.0348884732541575
273,03,v5,153,207,0.022816284004491535
274,03,v5,153,45,-0.015191950742290374
275,03,v5,153,99,0.01432654316498683
276,03,v5,207,153,0.00602506904996186
277,03,v5,207,207,-0.015808285984959192
278,03,v5,207,45,0.038039709376687256
279,03,v5,207,99,0.00034881564549622953
280,03,v5,45,153,0.06032191492516123
281,03,v5,45,207,-0.01885704612737848
282,03,v5,45,45,0.02534864311967792
283,03,v5,45,99,0.017858145034927022
284,03,v5,99,153,0.006495611015092861
285,03,v5,99,207,0.014538722139035606
286,03,v5,99,45,0.06806506132522389
287,03,v5,99,99,-0.008586770855019604
288,04,premotor,153,153,0.017520935091046415
289,04,premotor,153,207,0.03365372875851836
290,04,premotor,153,45,0.031196173253810487
291,04,premotor,153,99,0.03908182008610526
292,04,premotor,207,153,0.01819541610485427
293,04,premotor,207,207,0.02916044799296319
294,04,premotor,207,45,0.03358376259959639
295,04,premotor,207,99,0.02871351267294877
296,04,premotor,45,153,0.01984021434972031
297,04,premotor,45,207,0.029784856508912064
298,04,premotor,45,45,0.03141126251896437
299,04,premotor,45,99,0.024765056774406723
300,04,premotor,99,153,0.02625773324268687
301,04,premotor,99,207,0.029198186062957276
302,04,premotor,99,45,0.026365936658906977
303,04,premotor,99,99,0.01146240271452299
304,04,motor,153,153,-0.00016299642040380063
305,04,motor,153,207,0.0306452707910073
306,04,motor,153,45,0.01587905107743982
307,04,motor,153,99,0.036459016380647816
308,04,motor,207,153,0.019131811830605784
309,04,motor,207,207,-0.0037529926043070603
310,04,motor,207,45,0.01971807755761621
311,04,motor,207,99,-0.007285400233168472
312,04,motor,45,153,-0.0035689771248800595
313,04,motor,45,207,0.024798858054235384
314,04,motor,45,45,0.013763286577049286
315,04,motor,45,99,0.0157436543198009
316,04,motor,99,153,0.04163311126408273
317,04,motor,99,207,0.010636129586858336
318,04,motor,99,45,0.022669432554741253
319,04,motor,99,99,0.03218502881176012
320,04,v1,153,153,0.31821461565704584
321,04,v1,153,207,0.24412507461700592
322,04,v1,153,45,0.11357358424405199
323,04,v1,153,99,0.19421663957614752
324,04,v1,207,153,0.13183635556708423
325,04,v1,207,207,0.2460612005499896
326,04,v1,207,45,0.08202752905613499
327,04,v1,207,99,0.0819465135956134
328,04,v1,45,153,0.07780375577052695
329,04,v1,45,207,0.11285566268977501
330,04,v1,45,45,0.20004215212310894
331,04,v1,45,99,0.09474668144920316
332,04,v1,99,153,0.15241601869481053
333,04,v1,99,207,0.12702112489024425
334,04,v1,99,45,0.09639696372650709
335,04,v1,99,99,0.2238234577735219
336,04,sup_parietal,153,153,0.11601531602946358
337,04,sup_parietal,153,207,0.1110787815212757
338,04,sup_parietal,153,45,0.14154930314714428
339,04,sup_parietal,153,99,0.08453548746813802
340,04,sup_parietal,207,153,0.08043397901506733
341,04,sup_parietal,207,207,0.22614829849006865
342,04,sup_parietal,207,45,0.10122465975465007
343,04,sup_parietal,207,99,0.1393875082064656
344,04,sup_parietal,45,153,0.08097255033062722
345,04,sup_parietal,45,207,0.08047167792360387
346,04,sup_parietal,45,45,0.11432609282211241
347,04,sup_parietal,45,99,0.10421792045979208
348,04,sup_parietal,99,153,0.08527569885984143
349,04,sup_parietal,99,207,0.1427501364141229
350,04,sup_parietal,99,45,0.07875122472479182
351,04,sup_parietal,99,99,0.11729470078878923
352,04,inf_parietal,153,153,0.05523679777634053
353,04,inf_parietal,153,207,0.026530067693258875
354,04,inf_parietal,153,45,0.03689588858573163
355,04,inf_parietal,153,99,0.04845846441348254
356,04,inf_parietal,207,153,0.03292359781518972
357,04,inf_parietal,207,207,0.014983463967269413
358,04,inf_parietal,207,45,0.006476067833851296
359,04,inf_parietal,207,99,-0.00490781128885035
360,04,inf_parietal,45,153,0.022123622224404806
361,04,inf_parietal,45,207,0.02843811609157485
362,04,inf_parietal,45,45,0.03935598923632581
363,04,inf_parietal,45,99,0.039564174473100934
364,04,inf_parietal,99,153,0.027110867778492146
365,04,inf_parietal,99,207,-0.003675426444269131
366,04,inf_parietal,99,45,0.021838058909236003
367,04,inf_parietal,99,99,0.04130819108177677
368,04,v5,153,153,0.13707589786996258
369,04,v5,153,207,0.01406149761900419
370,04,v5,153,45,0.06217648646966244
371,04,v5,153,99,0.06652475003979082
372,04,v5,207,153,-0.012279364237716084
373,04,v5,207,207,0.07855402981375843
374,04,v5,207,45,0.001068980573417836
375,04,v5,207,99,0.015764181438158026
376,04,v5,45,153,0.052107264788674335
377,04,v5,45,207,0.006195075970131409
378,04,v5,45,45,0.11666498557690799
379,04,v5,45,99,0.0004606910047645317
380,04,v5,99,153,0.0934419284112333
381,04,v5,99,207,0.03839874775869722
382,04,v5,99,45,0.021568214163208494
383,04,v5,99,99,0.032687187130614546
384,05,premotor,153,153,0.008782002151370233
385,05,premotor,153,207,0.010905526963013393
386,05,premotor,153,45,0.014393724729399003
387,05,premotor,153,99,0.0006560517599347338
388,05,premotor,207,153,0.006551743639756155
389,05,premotor,207,207,0.000696861386252194
390,05,premotor,207,45,0.014942571656629572
391,05,premotor,207,99,0.013454900785511406
392,05,premotor,45,153,0.03949343394357549
393,05,premotor,45,207,0.00909341606722449
394,05,premotor,45,45,0.029343958133131114
395,05,premotor,45,99,0.010192295154315892
396,05,premotor,99,153,0.029903056209955578
397,05,premotor,99,207,0.022152202477155623
398,05,premotor,99,45,0.017221620789063537
399,05,premotor,99,99,0.014663216169104874
400,05,motor,153,153,0.025194164219622516
401,05,motor,153,207,0.025756296699386474
402,05,motor,153,45,0.008039749236040667
403,05,motor,153,99,0.05129985388350477
