,Participants,Masks,Target Location Straight,Correlation
245,12,motor,207,-0.8433050114551183
246,12,motor,45,-0.8682984036002837
247,12,motor,99,-0.850578907232713
248,12,v1,153,-0.7581732038263425
249,12,v1,207,-0.8148513275515514
250,12,v1,45,-0.7929764266286512
251,12,v1,99,-0.7667546865442024
252,12,sup_parietal,153,-0.8281202130783376
253,12,sup_parietal,207,-0.8110343096618318
254,12,sup_parietal,45,-0.8217978445680865
255,12,sup_parietal,99,-0.7858317854320185
256,12,inf_parietal,153,-0.837817040745311
257,12,inf_parietal,207,-0.8591952340146393
258,12,inf_parietal,45,-0.8566272793794318
259,12,inf_parietal,99,-0.8475364768052669
260,12,v5,153,-0.8494286462456028
261,12,v5,207,-0.8117498704042123
262,12,v5,45,-0.8154036499106071
263,12,v5,99,-0.8148384832713313
264,13,premotor,153,-0.8717303218570018
265,13,premotor,207,-0.8757875864239502
266,13,premotor,45,-0.8758455849100854
267,13,premotor,99,-0.8654991873857854
268,13,motor,153,-0.8650062779536387
269,13,motor,207,-0.8645355665303853
270,13,motor,45,-0.8565703204488525
271,13,motor,99,-0.85900530973874
272,13,v1,153,-0.7719440477299865
273,13,v1,207,-0.7206892302533514
274,13,v1,45,-0.7223526976740794
275,13,v1,99,-0.7510754513619429
276,13,sup_parietal,153,-0.8276113243324442
277,13,sup_parietal,207,-0.7997629673965634
278,13,sup_parietal,45,-0.7500813908143302
279,13,sup_parietal,99,-0.8311556446923802
280,13,inf_parietal,153,-0.8602830187506444
281,13,inf_parietal,207,-0.8514900637414035
282,13,inf_parietal,45,-0.848710880226485
283,13,inf_parietal,99,-0.8678221050954211
284,13,v5,153,-0.8121358290254614
285,13,v5,207,-0.8070834896239025
286,13,v5,45,-0.7746388439027452
287,13,v5,99,-0.8441667520690141
288,14,premotor,153,-0.8702649890170874
289,14,premotor,207,-0.8558652596285331
290,14,premotor,45,-0.8494212676795855
291,14,premotor,99,-0.8719157579929147
292,14,motor,153,-0.8649053121929322
293,14,motor,207,-0.8570414448172767
294,14,motor,45,-0.8501414773753713
295,14,motor,99,-0.8559182084589636
296,14,v1,153,-0.7869410110288206
297,14,v1,207,-0.8072203454538948
298,14,v1,45,-0.7728478457444058
299,14,v1,99,-0.7871617281657414
300,14,sup_parietal,153,-0.7848142292385021
301,14,sup_parietal,207,-0.8151047024257612
302,14,sup_parietal,45,-0.8388802081468762
303,14,sup_parietal,99,-0.8124877896242397
304,14,inf_parietal,153,-0.8627744886600792
305,14,inf_parietal,207,-0.8350994632473017
306,14,inf_parietal,45,-0.8392033605901179
307,14,inf_parietal,99,-0.8586725696700639
308,14,v5,153,-0.7695725737335614
309,14,v5,207,-0.8449526983036021
310,14,v5,45,-0.842120892321727
311,14,v5,99,-0.8481282516792219
312,15,premotor,153,-0.8467058468794832
313,15,premotor,207,-0.8473715376773978
314,15,premotor,45,-0.8347046679526751
315,15,premotor,99,-0.867226666550171
316,15,motor,153,-0.8599154819419259
317,15,motor,207,-0.8512717103046057
318,15,motor,45,-0.8285842284440414
319,15,motor,99,-0.8558400652483037
320,15,v1,153,-0.7594970643208684
321,15,v1,207,-0.7543100261380411
322,15,v1,45,-0.6475941582306697
323,15,v1,99,-0.7533583079014594
324,15,sup_parietal,153,-0.8131257791577474
325,15,sup_parietal,207,-0.8098789882802839
326,15,sup_parietal,45,-0.8132597565794386
327,15,sup_parietal,99,-0.7954563517495943
328,15,inf_parietal,153,-0.8216139340100224
329,15,inf_parietal,207,-0.8420669378999148
330,15,inf_parietal,45,-0.8447529072353306
331,15,inf_parietal,99,-0.8357688296163955
332,15,v5,153,-0.8052457664392458
333,15,v5,207,-0.8488409184250851
334,15,v5,45,-0.7915190751209171
335,15,v5,99,-0.7760824729926312
336,16,premotor,153,-0.8750369564827818
337,16,premotor,207,-0.8660010272519014
338,16,premotor,45,-0.8356213621383748
339,16,premotor,99,-0.8662035728096653
340,16,motor,153,-0.8424869230092672
341,16,motor,207,-0.8653560853307312
342,16,motor,45,-0.8213790862935262
343,16,motor,99,-0.8417773443519828
344,16,v1,153,-0.7549677386800185
345,16,v1,207,-0.803597409008324
346,16,v1,45,-0.7132131541230811
347,16,v1,99,-0.7634131191018441
348,16,sup_parietal,153,-0.8204224722215228
349,16,sup_parietal,207,-0.8422989457644435
350,16,sup_parietal,45,-0.7730544132878218
351,16,sup_parietal,99,-0.7991220796819468
352,16,inf_parietal,153,-0.8524074745683619
353,16,inf_parietal,207,-0.8471641148964026
354,16,inf_parietal,45,-0.7899345379551099
355,16,inf_parietal,99,-0.8392549239509699
356,16,v5,153,-0.7123712089506493
357,16,v5,207,-0.7497001593947864
358,16,v5,45,-0.6586287318374326
359,16,v5,99,-0.7830132781093057
360,17,premotor,153,-0.855309855035226
361,17,premotor,207,-0.8615710312832019
362,17,premotor,45,-0.8529088162791113
363,17,premotor,99,-0.804149223702866
364,17,motor,153,-0.8517746529977792
365,17,motor,207,-0.846861577992673
366,17,motor,45,-0.8211758725677136
367,17,motor,99,-0.8025677865899856
368,17,v1,153,-0.8058866205742212
369,17,v1,207,-0.8133872658242434
370,17,v1,45,-0.8049861124185572
371,17,v1,99,-0.7857091019091599
372,17,sup_parietal,153,-0.8221708941256829
373,17,sup_parietal,207,-0.810082312962927
374,17,sup_parietal,45,-0.7700291377993669
375,17,sup_parietal,99,-0.7888478853471133
376,17,inf_parietal,153,-0.8573434247517012
377,17,inf_parietal,207,-0.8652910679170588
378,17,inf_parietal,45,-0.8407771673006976
379,17,inf_parietal,99,-0.7996971888205557
380,17,v5,153,-0.7367603261550196
381,17,v5,207,-0.7879441717035436
382,17,v5,45,-0.7725838425956874
383,17,v5,99,-0.7045030203152265
384,18,premotor,153,-0.8776311247656235
385,18,premotor,207,-0.876139642844969
386,18,premotor,45,-0.8680503120523255
387,18,premotor,99,-0.879610404512084
388,18,motor,153,-0.85843838187846
389,18,motor,207,-0.8551023908640357
390,18,motor,45,-0.8467882017478616
391,18,motor,99,-0.8697337695767753
392,18,v1,153,-0.7575273736600435
393,18,v1,207,-0.7721701932708525
394,18,v1,45,-0.7512055573474182
395,18,v1,99,-0.7523910180376435
396,18,sup_parietal,153,-0.8224844784628593
397,18,sup_parietal,207,-0.798291229173923
398,18,sup_parietal,45,-0.8074526684272468
399,18,sup_parietal,99,-0.7922961933326017
400,18,inf_parietal,153,-0.8516572790633796
401,18,inf_parietal,207,-0.8381791917178303
402,18,inf_parietal,45,-0.8634141741872379
403,18,inf_parietal,99,-0.8482763333802095
404,18,v5,153,-0.8325728861094586
405,18,v5,207,-0.7726268496041283
406,18,v5,45,-0.7912755552965449
407,18,v5,99,-0.7757501564615927
408,19,premotor,153,-0.8811356354664196
409,19,premotor,207,-0.8523650494668542
410,19,premotor,45,-0.8711621174359142
411,19,premotor,99,-0.8771598710574644
412,19,motor,153,-0.8771532833130715
413,19,motor,207,-0.8379658526932519
414,19,motor,45,-0.8553483364467118
415,19,motor,99,-0.8443197901148974
416,19,v1,153,-0.8368432022605177
417,19,v1,207,-0.752637936883169
418,19,v1,45,-0.8037751575954506
419,19,v1,99,-0.8166810546451965
420,19,sup_parietal,153,-0.8411592685949111
421,19,sup_parietal,207,-0.7947590251558339
422,19,sup_parietal,45,-0.8425765338542552
423,19,sup_parietal,99,-0.837344296939405
424,19,inf_parietal,153,-0.8485135327596934
425,19,inf_parietal,207,-0.8063320162526854
426,19,inf_parietal,45,-0.8496394548373731
427,19,inf_parietal,99,-0.8269006149267658
428,19,v5,153,-0.7927814708326053
429,19,v5,207,-0.7183981423724668
430,19,v5,45,-0.7890962504332644
431,19,v5,99,-0.8000686856054613
432,20,premotor,153,-0.8668306017973659
433,20,premotor,207,-0.8857355853730505
434,20,premotor,45,-0.8869024436831087
435,20,premotor,99,-0.8927053687285809
436,20,motor,153,-0.8696134877139702
437,20,motor,207,-0.8729696699855178
438,20,motor,45,-0.874417957965552
439,20,motor,99,-0.8677968317447601
440,20,v1,153,-0.8251676852001321
