,Participants,Masks,Target Location Straight,Correlation
346,16,v1,45,1.0
347,16,v1,99,1.0
348,16,sup_parietal,153,1.0
349,16,sup_parietal,207,1.0
350,16,sup_parietal,45,1.0
351,16,sup_parietal,99,0.9999999999999999
352,16,inf_parietal,153,1.0
353,16,inf_parietal,207,0.9999999999999998
354,16,inf_parietal,45,0.9999999999999999
355,16,inf_parietal,99,1.0
356,16,v5,153,1.0
357,16,v5,207,1.0
358,16,v5,45,1.0
359,16,v5,99,1.0
360,17,premotor,153,0.9999999999999999
361,17,premotor,207,0.9999999999999999
362,17,premotor,45,0.9999999999999999
363,17,premotor,99,1.0
364,17,motor,153,1.0
365,17,motor,207,1.0
366,17,motor,45,0.9999999999999999
367,17,motor,99,1.0
368,17,v1,153,0.9999999999999999
369,17,v1,207,0.9999999999999998
370,17,v1,45,0.9999999999999998
371,17,v1,99,1.0
372,17,sup_parietal,153,1.0
373,17,sup_parietal,207,1.0
374,17,sup_parietal,45,1.0
375,17,sup_parietal,99,1.0
376,17,inf_parietal,153,0.9999999999999999
377,17,inf_parietal,207,1.0
378,17,inf_parietal,45,0.9999999999999998
379,17,inf_parietal,99,0.9999999999999999
380,17,v5,153,0.9999999999999999
381,17,v5,207,1.0
382,17,v5,45,1.0
383,17,v5,99,1.0
384,18,premotor,153,1.0
385,18,premotor,207,1.0
386,18,premotor,45,1.0
387,18,premotor,99,0.9999999999999999
388,18,motor,153,1.0
389,18,motor,207,1.0
390,18,motor,45,1.0
391,18,motor,99,1.0
392,18,v1,153,0.9999999999999998
393,18,v1,207,1.0
394,18,v1,45,0.9999999999999998
395,18,v1,99,1.0
396,18,sup_parietal,153,1.0
397,18,sup_parietal,207,1.0
398,18,sup_parietal,45,1.0
399,18,sup_parietal,99,0.9999999999999998
400,18,inf_parietal,153,1.0
401,18,inf_parietal,207,1.0
402,18,inf_parietal,45,1.0
403,18,inf_parietal,99,1.0
404,18,v5,153,1.0
405,18,v5,207,1.0
406,18,v5,45,0.9999999999999999
407,18,v5,99,1.0
408,19,premotor,153,1.0
409,19,premotor,207,1.0
410,19,premotor,45,1.0
411,19,premotor,99,0.9999999999999999
412,19,motor,153,0.9999999999999999
413,19,motor,207,1.0
414,19,motor,45,1.0
415,19,motor,99,0.9999999999999999
416,19,v1,153,1.0
417,19,v1,207,0.9999999999999998
418,19,v1,45,1.0
419,19,v1,99,1.0
420,19,sup_parietal,153,1.0
421,19,sup_parietal,207,0.9999999999999999
422,19,sup_parietal,45,0.9999999999999999
423,19,sup_parietal,99,1.0
424,19,inf_parietal,153,0.9999999999999998
425,19,inf_parietal,207,1.0
426,19,inf_parietal,45,1.0
427,19,inf_parietal,99,1.0
428,19,v5,153,0.9999999999999999
429,19,v5,207,1.0
430,19,v5,45,0.9999999999999998
431,19,v5,99,1.0
432,20,premotor,153,1.0
433,20,premotor,207,1.0
434,20,premotor,45,1.0
435,20,premotor,99,1.0
436,20,motor,153,0.9999999999999999
437,20,motor,207,1.0
438,20,motor,45,0.9999999999999999
439,20,motor,99,1.0
440,20,v1,153,1.0
441,20,v1,207,0.9999999999999999
442,20,v1,45,0.9999999999999998
443,20,v1,99,1.0
444,20,sup_parietal,153,1.0
445,20,sup_parietal,207,0.9999999999999999
446,20,sup_parietal,45,1.0
447,20,sup_parietal,99,1.0
448,20,inf_parietal,153,1.0
449,20,inf_parietal,207,1.0
450,20,inf_parietal,45,0.9999999999999999
451,20,inf_parietal,99,1.0
452,20,v5,153,1.0
453,20,v5,207,1.0
454,20,v5,45,1.0
455,20,v5,99,1.0
456,22,premotor,153,1.0
457,22,premotor,207,1.0
458,22,premotor,45,1.0
459,22,premotor,99,0.9999999999999999
460,22,motor,153,1.0
461,22,motor,207,0.9999999999999999
462,22,motor,45,1.0
463,22,motor,99,1.0
464,22,v1,153,0.9999999999999999
465,22,v1,207,1.0
466,22,v1,45,0.9999999999999999
467,22,v1,99,1.0
468,22,sup_parietal,153,1.0
469,22,sup_parietal,207,1.0
470,22,sup_parietal,45,1.0
471,22,sup_parietal,99,1.0
472,22,inf_parietal,153,1.0
473,22,inf_parietal,207,1.0
474,22,inf_parietal,45,1.0
475,22,inf_parietal,99,1.0
476,22,v5,153,1.0
477,22,v5,207,1.0
478,22,v5,45,1.0
479,22,v5,99,1.0
480,23,premotor,153,0.9999999999999999
481,23,premotor,207,1.0
482,23,premotor,45,1.0
483,23,premotor,99,1.0
484,23,motor,153,1.0
485,23,motor,207,1.0
486,23,motor,45,1.0
487,23,motor,99,1.0
488,23,v1,153,1.0
489,23,v1,207,0.9999999999999999
490,23,v1,45,1.0
491,23,v1,99,0.9999999999999999
492,23,sup_parietal,153,1.0
493,23,sup_parietal,207,0.9999999999999999
494,23,sup_parietal,45,0.9999999999999998
495,23,sup_parietal,99,1.0
496,23,inf_parietal,153,1.0
497,23,inf_parietal,207,1.0
498,23,inf_parietal,45,1.0
499,23,inf_parietal,99,1.0
500,23,v5,153,1.0
501,23,v5,207,1.0
502,23,v5,45,1.0
503,23,v5,99,1.0
504,24,premotor,153,1.0
505,24,premotor,207,1.0
506,24,premotor,45,1.0
507,24,premotor,99,0.9999999999999998
508,24,motor,153,1.0
509,24,motor,207,1.0
510,24,motor,45,1.0
511,24,motor,99,0.9999999999999999
512,24,v1,153,1.0
513,24,v1,207,1.0
514,24,v1,45,0.9999999999999998
515,24,v1,99,1.0
516,24,sup_parietal,153,1.0
517,24,sup_parietal,207,1.0
518,24,sup_parietal,45,0.9999999999999998
519,24,sup_parietal,99,0.9999999999999999
520,24,inf_parietal,153,1.0
521,24,inf_parietal,207,1.0
522,24,inf_parietal,45,1.0
523,24,inf_parietal,99,1.0
524,24,v5,153,0.9999999999999999
525,24,v5,207,1.0
526,24,v5,45,1.0
527,24,v5,99,1.0
528,25,premotor,153,1.0
529,25,premotor,207,1.0
530,25,premotor,45,1.0
531,25,premotor,99,1.0
532,25,motor,153,0.9999999999999999
533,25,motor,207,1.0
534,25,motor,45,1.0
535,25,motor,99,1.0
536,25,v1,153,1.0
537,25,v1,207,1.0
538,25,v1,45,1.0
539,25,v1,99,1.0
540,25,sup_parietal,153,1.0
541,25,sup_parietal,207,1.0
542,25,sup_parietal,45,1.0
543,25,sup_parietal,99,1.0
544,25,inf_parietal,153,1.0
545,25,inf_parietal,207,0.9999999999999998
546,25,inf_parietal,45,1.0
547,25,inf_parietal,99,1.0
548,25,v5,153,0.9999999999999999
549,25,v5,207,1.0
550,25,v5,45,1.0
551,25,v5,99,1.0
552,26,premotor,153,1.0
553,26,premotor,207,1.0
554,26,premotor,45,0.9999999999999998
555,26,premotor,99,0.9999999999999998
556,26,motor,153,1.0
557,26,motor,207,0.9999999999999999
558,26,motor,45,1.0
559,26,motor,99,1.0
560,26,v1,153,1.0
561,26,v1,207,0.9999999999999998
562,26,v1,45,1.0
563,26,v1,99,1.0
564,26,sup_parietal,153,0.9999999999999998
565,26,sup_parietal,207,1.0
566,26,sup_parietal,45,1.0
567,26,sup_parietal,99,1.0
568,26,inf_parietal,153,1.0
569,26,inf_parietal,207,0.9999999999999999
570,26,inf_parietal,45,0.9999999999999999
571,26,inf_parietal,99,1.0
572,26,v5,153,0.9999999999999998
573,26,v5,207,1.0
574,26,v5,45,1.0
575,26,v5,99,0.9999999999999999
