,Participants,Masks,Rotate Direction,Straight Direction,Correlation
223,03,motor,99,99,0.0665091500110093
224,03,v1,153,153,-0.05263962425581875
225,03,v1,153,207,-0.005540373209326137
226,03,v1,153,45,0.03925353598609539
227,03,v1,153,99,-0.00418301542500393
228,03,v1,207,153,-0.025953514518139625
229,03,v1,207,207,0.005557719215886388
230,03,v1,207,45,0.07286062320204281
231,03,v1,207,99,-0.034779969044358185
232,03,v1,45,153,0.03251797379532053
233,03,v1,45,207,-0.03397030682813772
234,03,v1,45,45,-0.05305151675996758
235,03,v1,45,99,0.057363573216145713
236,03,v1,99,153,0.05844778398495876
237,03,v1,99,207,0.03080106595708812
238,03,v1,99,45,-0.04895563978127772
239,03,v1,99,99,-0.0333752031132922
240,03,sup_parietal,153,153,-0.0007356558099064492
241,03,sup_parietal,153,207,-0.040273596170061515
242,03,sup_parietal,153,45,0.053032286068184456
243,03,sup_parietal,153,99,-0.021768999261747482
244,03,sup_parietal,207,153,-0.06421939022353583
245,03,sup_parietal,207,207,0.006871209078687603
246,03,sup_parietal,207,45,0.07095775193095766
247,03,sup_parietal,207,99,0.013383621624648415
248,03,sup_parietal,45,153,0.1263012895070746
249,03,sup_parietal,45,207,0.05120872418024178
250,03,sup_parietal,45,45,-0.15886078128516634
251,03,sup_parietal,45,99,-0.0077756875610330844
252,03,sup_parietal,99,153,-0.068863553885912
253,03,sup_parietal,99,207,-0.006642479820324301
254,03,sup_parietal,99,45,0.06193235313657523
255,03,sup_parietal,99,99,0.0034395179394712573
256,03,inf_parietal,153,153,0.05919279221064652
257,03,inf_parietal,153,207,0.004694544843742154
258,03,inf_parietal,153,45,-0.0560315992888028
259,03,inf_parietal,153,99,0.025079375366147308
260,03,inf_parietal,207,153,-0.03800683945499837
261,03,inf_parietal,207,207,0.06199345562239099
262,03,inf_parietal,207,45,0.0072947143662125714
263,03,inf_parietal,207,99,0.005466900994721441
264,03,inf_parietal,45,153,-0.024689631552856535
265,03,inf_parietal,45,207,-0.02018616785840867
266,03,inf_parietal,45,45,0.0010317321249258948
267,03,inf_parietal,45,99,0.020681544374541304
268,03,inf_parietal,99,153,0.014779132870988835
269,03,inf_parietal,99,207,-0.036388510369761165
270,03,inf_parietal,99,45,0.011279397228294573
271,03,inf_parietal,99,99,-0.02854209693071111
272,03,v5,153,153,-0.005442791226121763
273,03,v5,153,207,0.12815062552329765
274,03,v5,153,45,-0.08831748951935622
275,03,v5,153,99,-0.04857144073393868
276,03,v5,207,153,0.046297715305051494
277,03,v5,207,207,0.01378976692483333
278,03,v5,207,45,0.07042123961315627
279,03,v5,207,99,-0.04658262899315778
280,03,v5,45,153,0.08482857470110183
281,03,v5,45,207,-0.106693705390175
