,Participants,Masks,Rotate Direction,Rotate Direction_,Correlation
410,05,motor,45,45,-0.8973598632392721
411,05,motor,45,99,0.33939752281421376
412,05,motor,99,153,0.31452476904667526
413,05,motor,99,207,0.3184911575658758
414,05,motor,99,45,0.30682761730809543
415,05,motor,99,99,-0.8768704473132716
416,05,v1,153,153,-0.9012616302665035
417,05,v1,153,207,0.353343872783224
418,05,v1,153,45,0.13929857646669783
419,05,v1,153,99,0.34038250248741225
420,05,v1,207,153,0.41978432187268344
421,05,v1,207,207,-0.8960666724117382
422,05,v1,207,45,0.15797220285070146
423,05,v1,207,99,0.2544918659513865
424,05,v1,45,153,0.18454775340433688
425,05,v1,45,207,0.18648594510651859
426,05,v1,45,45,-0.892177533356965
427,05,v1,45,99,0.4138394783862546
428,05,v1,99,153,0.28554434423305664
429,05,v1,99,207,0.18780813626407575
430,05,v1,99,45,0.47404293771054296
431,05,v1,99,99,-0.889971945637509
432,05,sup_parietal,153,153,-0.8411664071175707
433,05,sup_parietal,153,207,0.25835132428900903
434,05,sup_parietal,153,45,0.2535897335396691
435,05,sup_parietal,153,99,0.29806463727269417
436,05,sup_parietal,207,153,0.31348873928831517
437,05,sup_parietal,207,207,-0.8524373485775897
438,05,sup_parietal,207,45,0.15341454484472694
439,05,sup_parietal,207,99,0.24399327437010693
440,05,sup_parietal,45,153,0.26100750785190974
441,05,sup_parietal,45,207,0.1887160091539358
442,05,sup_parietal,45,45,-0.8395973232090912
443,05,sup_parietal,45,99,0.3437202905264398
444,05,sup_parietal,99,153,0.33137211409599276
445,05,sup_parietal,99,207,0.2667879224601257
446,05,sup_parietal,99,45,0.3272844815065706
447,05,sup_parietal,99,99,-0.8704224606707379
448,05,inf_parietal,153,153,-0.8690280924149756
449,05,inf_parietal,153,207,0.2565946297689867
450,05,inf_parietal,153,45,0.32206072026374993
451,05,inf_parietal,153,99,0.3121456918432619
452,05,inf_parietal,207,153,0.2481325575789191
453,05,inf_parietal,207,207,-0.8802749165388604
454,05,inf_parietal,207,45,0.32222207489632315
455,05,inf_parietal,207,99,0.24496594839271763
456,05,inf_parietal,45,153,0.28185433420016537
457,05,inf_parietal,45,207,0.26010106451530685
458,05,inf_parietal,45,45,-0.874475514269318
459,05,inf_parietal,45,99,0.319966172290593
460,05,inf_parietal,99,153,0.33865716159535153
461,05,inf_parietal,99,207,0.219062261232049
462,05,inf_parietal,99,45,0.3099995085920128
463,05,inf_parietal,99,99,-0.8864445642067309
464,05,v5,153,153,-0.8521199886354904
465,05,v5,153,207,0.2822862837940205
466,05,v5,153,45,0.2375721254245801
467,05,v5,153,99,0.2508426496851296
468,05,v5,207,153,0.23182113365356782
469,05,v5,207,207,-0.8752166424082733
470,05,v5,207,45,0.3211788396602289
471,05,v5,207,99,0.3030797458671365
472,05,v5,45,153,0.2783028309467097
473,05,v5,45,207,0.23242242192753737
474,05,v5,45,45,-0.8719007356068859
475,05,v5,45,99,0.3472172617667708
476,05,v5,99,153,0.30674017798238623
477,05,v5,99,207,0.2817919603499012
478,05,v5,99,45,0.26148101504026433
479,05,v5,99,99,-0.8578772908233057
480,06,premotor,153,153,-0.9008494246883556
481,06,premotor,153,207,0.29034550866643793
482,06,premotor,153,45,0.3083148994813024
483,06,premotor,153,99,0.2664099419273927
484,06,premotor,207,153,0.3390922096156801
485,06,premotor,207,207,-0.9119110928591305
486,06,premotor,207,45,0.23644574716533812
487,06,premotor,207,99,0.27590363401044715
488,06,premotor,45,153,0.29383477830837623
489,06,premotor,45,207,0.26674941297508475
490,06,premotor,45,45,-0.848341823511142
491,06,premotor,45,99,0.34948100262645054
492,06,premotor,99,153,0.2714222898458164
493,06,premotor,99,207,0.30101359870961697
494,06,premotor,99,45,0.2975746731091049
495,06,premotor,99,99,-0.8975884175134549
496,06,motor,153,153,-0.8900507001044683
497,06,motor,153,207,0.285151861307192
498,06,motor,153,45,0.24116152341290625
499,06,motor,153,99,0.28654583979917214
500,06,motor,207,153,0.3169821545152784
501,06,motor,207,207,-0.8911811372668338
502,06,motor,207,45,0.25515236335921054
503,06,motor,207,99,0.2232804070264156
504,06,motor,45,153,0.2764367111284754
505,06,motor,45,207,0.266939273216913
506,06,motor,45,45,-0.7520422360046292
507,06,motor,45,99,0.3314837448641672
508,06,motor,99,153,0.2980623822042273
509,06,motor,99,207,0.24788682238413418
510,06,motor,99,45,0.2687338018977194
511,06,motor,99,99,-0.8911728492481539
512,06,v1,153,153,-0.8674323992225024
513,06,v1,153,207,0.307778980888224
514,06,v1,153,45,0.28945342760847725
515,06,v1,153,99,0.19162728797961953
516,06,v1,207,153,0.33723601438845824
517,06,v1,207,207,-0.8654134211373363
518,06,v1,207,45,0.20667140208911275
519,06,v1,207,99,0.23701831451675498
520,06,v1,45,153,0.2832883138455845
521,06,v1,45,207,0.26103870830568504
522,06,v1,45,45,-0.8048797439003684
523,06,v1,45,99,0.3987797880598881
524,06,v1,99,153,0.24386714148611302
525,06,v1,99,207,0.22285326544152706
526,06,v1,99,45,0.32131255438093786
527,06,v1,99,99,-0.8606932394724689
528,06,sup_parietal,153,153,-0.8715993385836394
529,06,sup_parietal,153,207,0.27871926608564934
530,06,sup_parietal,153,45,0.24501976784131818
531,06,sup_parietal,153,99,0.262752211100195
532,06,sup_parietal,207,153,0.30627710625712934
533,06,sup_parietal,207,207,-0.8850903310804582
534,06,sup_parietal,207,45,0.24757501593755826
535,06,sup_parietal,207,99,0.2788156675776746
536,06,sup_parietal,45,153,0.23362767317803396
537,06,sup_parietal,45,207,0.27960888095113107
538,06,sup_parietal,45,45,-0.8265188952059042
539,06,sup_parietal,45,99,0.35276870880112443
540,06,sup_parietal,99,153,0.3059134554046349
541,06,sup_parietal,99,207,0.21805973356502661
542,06,sup_parietal,99,45,0.27940426615959957
543,06,sup_parietal,99,99,-0.8654293788163084
544,06,inf_parietal,153,153,-0.8771284837528105
545,06,inf_parietal,153,207,0.2724590333990736
546,06,inf_parietal,153,45,0.24635149095651596
